"","Time","Spp","Colony","Core","Notes","Treatment","Replicate","Date","YII"
"83",0,"S.sid",20,"20-99","OK","N ","R2","2017-09-01",0.461
"84",0,"S.sid",20,"20-101","OK","NP","R2","2017-09-01",0.514
"85",0,"S.sid",20,"20-102","OK","Control ","R1","2017-09-01",0.503
"86",0,"S.sid",20,"20-103","OK","N ","R1","2017-09-01",0.507
"87",0,"S.sid",20,"20-105","OK","NP","R1","2017-09-01",0.44
"88",0,"S.sid",20,"20-106","OK","Control ","R2","2017-09-01",0.492
"89",0,"S.sid",22,"22-2","OK","Control ","R1","2017-09-01",0.471
"90",0,"S.sid",22,"22-3","OK","N ","R1","2017-09-01",0.492
"91",0,"S.sid",22,"22-5","OK","NP","R1","2017-09-01",0.51
"92",0,"S.sid",22,"22-6","OK","Control ","R2","2017-09-01",0.522
"93",0,"S.sid",22,"22-8","OK","N ","R2","2017-09-01",0.478
"94",0,"S.sid",22,"22-11","OK","NP","R2","2017-09-01",0.487
"95",0,"S.sid",22,"22-12","OK","Control ","R1","2017-09-01",0.509
"96",0,"S.sid",22,"22-13","OK","N ","R1","2017-09-01",0.476
"97",0,"S.sid",22,"22-14","OK","NP","R1","2017-09-01",0.49
"98",0,"S.sid",22,"22-16","OK","Control ","R2","2017-09-01",0.509
"99",0,"S.sid",22,"22-17","OK","N ","R2","2017-09-01",0.514
"100",0,"S.sid",22,"22-18","OK","NP","R2","2017-09-01",0.488
"101",0,"S.sid",22,"22-19","OK","Control ","R1","2017-09-01",0.501
"102",0,"S.sid",22,"22-20","OK","N ","R1","2017-09-01",0.488
"103",0,"S.sid",22,"22-21","OK","NP","R1","2017-09-01",0.497
"104",0,"S.sid",22,"22-22","OK","Control ","R2","2017-09-01",0.488
"105",0,"S.sid",22,"22-24","OK","N ","R2","2017-09-01",0.503
"106",0,"S.sid",22,"22-25","OK","NP","R2","2017-09-01",0.472
"107",0,"S.sid",22,"22-26","OK","Control ","R1","2017-09-01",0.5
"108",0,"S.sid",22,"22-27","OK","N ","R1","2017-09-01",0.493
"109",0,"S.sid",22,"22-28","OK","NP","R1","2017-09-01",0.483
"110",0,"S.sid",22,"22-31","OK","Control ","R2","2017-09-01",0.504
"111",0,"S.sid",22,"22-32","OK","N ","R2","2017-09-01",0.506
"112",0,"S.sid",22,"22-33","OK","NP","R2","2017-09-01",0.506
"113",0,"S.sid",22,"22-34","OK","Control ","R1","2017-09-01",0.496
"114",0,"S.sid",22,"22-35","OK","N ","R1","2017-09-01",0.488
"115",0,"S.sid",22,"22-36","OK","NP","R1","2017-09-01",0.479
"116",0,"S.sid",22,"22-37","OK","Control ","R2","2017-09-01",0.5
"117",0,"S.sid",22,"22-38","OK","N ","R2","2017-09-01",0.495
"118",0,"S.sid",22,"22-39","OK","NP","R2","2017-09-01",0.49
"119",0,"S.sid",22,"22-41","OK","Control ","R1","2017-09-01",0.498
"120",0,"S.sid",22,"22-42","OK","N ","R1","2017-09-01",0.503
"121",0,"S.sid",22,"22-43","OK","NP","R1","2017-09-01",0.499
"122",0,"S.sid",22,"22-44","OK","Control ","R2","2017-09-01",0.487
"123",0,"S.sid",22,"22-45","OK","N ","R2","2017-09-01",0.508
"124",0,"S.sid",22,"22-46","OK","NP","R2","2017-09-01",0.512
"125",0,"S.sid",22,"22-47","OK","Control ","R1","2017-09-01",0.507
"126",0,"S.sid",22,"22-48","OK","N ","R1","2017-09-01",0.489
"127",0,"S.sid",22,"22-49","OK","NP","R1","2017-09-01",0.49
"128",0,"S.sid",22,"22-50","OK","Control ","R2","2017-09-01",0.49
"129",0,"S.sid",22,"22-51","OK","N ","R2","2017-09-01",0.55
"130",0,"S.sid",22,"22-52","OK","NP","R2","2017-09-01",0.516
"131",0,"S.sid",22,"22-53","OK","Control ","R1","2017-09-01",0.515
"132",0,"S.sid",22,"22-54","OK","N ","R1","2017-09-01",0.498
"133",0,"S.sid",22,"22-55","OK","NP","R1","2017-09-01",0.496
"134",0,"S.sid",22,"22-56","OK","Control ","R2","2017-09-01",0.502
"135",0,"S.sid",22,"22-57","OK","N ","R2","2017-09-01",0.484
"136",0,"S.sid",22,"22-58","OK","NP","R2","2017-09-01",0.514
"137",0,"S.sid",22,"22-60","OK","Control ","R1","2017-09-01",0.472
"138",0,"S.sid",22,"22-61","OK","N ","R1","2017-09-01",0.488
"139",0,"S.sid",22,"22-62","OK","NP","R1","2017-09-01",0.486
"140",0,"S.sid",22,"22-64","OK","Control ","R2","2017-09-01",0.498
"141",0,"S.sid",22,"22-65","OK","N ","R2","2017-09-01",0.498
"142",0,"S.sid",23,"23-1","OK","NP","R2","2017-09-01",0.492
"143",0,"S.sid",23,"23-2","OK","Control ","R1","2017-09-01",0.502
"144",0,"S.sid",23,"23-4","Meh","Control ","R1","2017-09-01",0.498
"145",0,"S.sid",23,"23-5","Meh","N ","R1","2017-09-01",0.479
"146",0,"S.sid",23,"23-6","OK","N ","R1","2017-09-01",0.477
"147",0,"S.sid",23,"23-7","Meh","NP","R1","2017-09-01",0.427
"148",0,"S.sid",23,"23-10","Meh","Control ","R2","2017-09-01",0.498
"149",0,"S.sid",23,"23-11","OK","NP","R1","2017-09-01",0.455
"150",0,"S.sid",23,"23-12","Broken","Control ","R2","2017-09-01",0.46
"151",0,"S.sid",23,"23-13","OK","N ","R2","2017-09-01",0.485
"152",0,"S.sid",23,"23-14","OK","NP","R2","2017-09-01",0.505
"153",0,"S.sid",23,"23-15","OK","Control ","R1","2017-09-01",0.474
"154",0,"S.sid",23,"23-16","OK","N ","R1","2017-09-01",0.474
"155",0,"S.sid",23,"23-17","OK","NP","R1","2017-09-01",0.488
"156",0,"S.sid",23,"23-18","Meh","N ","R2","2017-09-01",0.457
"157",0,"S.sid",23,"23-19","Meh","NP","R2","2017-09-01",0.451
"158",0,"S.sid",23,"23-20","OK","Control ","R2","2017-09-01",0.452
"159",0,"S.sid",23,"23-21","Meh","Control ","R1","2017-09-01",0.469
"160",0,"S.sid",23,"23-22","OK","N ","R2","2017-09-01",0.481
"161",0,"S.sid",23,"23-23","OK","NP","R2","2017-09-01",0.461
"162",0,"S.sid",23,"23-24","Shit","N ","R1","2017-09-01",0.479
"163",0,"S.sid",23,"23-25","OK","Control ","R1","2017-09-01",0.479
"164",0,"S.sid",23,"23-26","OK","N ","R1","2017-09-01",0.464
"165",0,"S.sid",23,"23-29","OK","NP","R1","2017-09-01",0.491
"166",0,"S.sid",23,"23-31","OK","Control ","R2","2017-09-01",0.484
"167",0,"S.sid",23,"23-32","OK","N ","R2","2017-09-01",0.47
"168",0,"S.sid",23,"23-33","OK","NP","R2","2017-09-01",0.493
"169",0,"S.sid",23,"23-34","OK","Control ","R1","2017-09-01",0.493
"170",0,"S.sid",23,"23-35","OK","N ","R1","2017-09-01",0.466
"171",0,"S.sid",23,"23-36","OK","NP","R1","2017-09-01",0.483
"172",0,"S.sid",23,"23-37","OK","Control ","R2","2017-09-01",0.487
"173",0,"S.sid",23,"23-38","OK","N ","R2","2017-09-01",0.493
"174",0,"S.sid",23,"23-39","OK","NP","R2","2017-09-01",0.483
"175",0,"S.sid",23,"23-40","OK","Control ","R1","2017-09-01",0.462
"176",0,"S.sid",23,"23-41","OK","N ","R1","2017-09-01",0.458
"177",0,"S.sid",23,"23-42","OK","NP","R1","2017-09-01",0.478
"178",0,"S.sid",23,"23-43","OK","Control ","R2","2017-09-01",0.489
"179",0,"S.sid",23,"23-44","OK","N ","R2","2017-09-01",0.471
"180",0,"S.sid",23,"23-45","OK","NP","R2","2017-09-01",0.461
"181",0,"S.sid",23,"23-46","OK","Control ","R1","2017-09-01",0.49
"182",0,"S.sid",23,"23-47","OK","N ","R1","2017-09-01",0.483
"183",0,"S.sid",23,"23-48","OK","NP","R1","2017-09-01",0.477
"184",0,"S.sid",23,"23-49","OK","Control ","R2","2017-09-01",0.465
"185",0,"S.sid",23,"23-50","Meh","NP","R1","2017-09-01",0.473
"186",0,"S.sid",23,"23-52","OK","N ","R2","2017-09-01",0.484
"187",0,"S.sid",23,"23-53","OK","NP","R2","2017-09-01",0.468
"188",0,"S.sid",23,"23-54","OK","Control ","R1","2017-09-01",0.467
"189",0,"S.sid",23,"23-55","OK","N ","R1","2017-09-01",0.469
"190",0,"S.sid",23,"23-56","OK","NP","R1","2017-09-01",0.468
"191",0,"S.sid",23,"23-57","OK","Control ","R2","2017-09-01",0.473
"192",0,"S.sid",23,"23-58","OK","N ","R2","2017-09-01",0.471
"193",0,"S.sid",23,"23-59","OK","NP","R2","2017-09-01",0.465
"194",0,"S.sid",23,"23-60","OK","Control ","R1","2017-09-01",0.463
"195",0,"S.sid",23,"23-61","OK","N ","R1","2017-09-01",0.485
"196",0,"S.sid",23,"23-62","OK","NP","R1","2017-09-01",0.473
"197",0,"S.sid",23,"23-63","OK","Control ","R2","2017-09-01",0.476
"198",0,"S.sid",23,"23-64","Meh","Control ","R2","2017-09-01",0.456
"199",0,"S.sid",23,"23-65","OK","N ","R2","2017-09-01",0.471
"200",0,"S.sid",23,"23-66","OK","NP","R2","2017-09-01",0.455
"201",0,"S.sid",23,"23-67","OK","Control ","R1","2017-09-01",0.452
"202",0,"S.sid",23,"23-68","OK","N ","R1","2017-09-01",0.47
"203",0,"S.sid",23,"23-69","OK","NP","R1","2017-09-01",0.46
"204",0,"S.sid",23,"23-70","OK","Control ","R2","2017-09-01",0.472
"205",0,"S.sid",23,"23-71","OK","N ","R2","2017-09-01",0.447
"206",0,"S.sid",23,"23-72","OK","NP","R2","2017-09-01",0.445
"207",0,"S.sid",23,"23-73","OK","Control ","R1","2017-09-01",0.465
"208",0,"S.sid",23,"23-74","OK","N ","R1","2017-09-01",0.461
"209",0,"S.sid",23,"23-75","OK","NP","R1","2017-09-01",0.465
"210",0,"S.sid",23,"23-76","OK","Control ","R2","2017-09-01",0.442
"211",0,"S.sid",23,"23-77","OK","N ","R2","2017-09-01",0.466
"212",0,"S.sid",23,"23-78","OK","NP","R2","2017-09-01",0.469
"213",0,"S.sid",23,"23-79","OK","Control ","R1","2017-09-01",0.466
"214",0,"S.sid",23,"23-80","OK","N ","R1","2017-09-01",0.449
"215",0,"S.sid",23,"23-81","OK","NP","R1","2017-09-01",0.453
"216",0,"S.sid",24,"24-1","OK","Control ","R2","2017-09-01",0.516
"217",0,"S.sid",24,"24-2","OK","N ","R2","2017-09-01",0.503
"218",0,"S.sid",24,"24-3","OK","NP","R2","2017-09-01",0.517
"219",0,"S.sid",24,"24-4","Meh","N ","R2","2017-09-01",0.505
"220",0,"S.sid",24,"24-5","OK","Control ","R1","2017-09-01",0.496
"221",0,"S.sid",24,"24-6","OK","N ","R1","2017-09-01",0.506
"222",0,"S.sid",24,"24-7","OK","NP","R1","2017-09-01",0.501
"223",0,"S.sid",24,"24-8","OK","Control ","R2","2017-09-01",0.495
"224",0,"S.sid",24,"24-9","OK","N ","R2","2017-09-01",0.491
"225",0,"S.sid",24,"24-10","OK","NP","R2","2017-09-01",0.505
"226",0,"S.sid",24,"24-11","OK","Control ","R1","2017-09-01",0.517
"227",0,"S.sid",24,"24-12","OK","N ","R1","2017-09-01",0.512
"228",0,"S.sid",24,"24-13","Meh","NP","R2","2017-09-01",0.502
"229",0,"S.sid",24,"24-14","OK","NP","R1","2017-09-01",0.491
"230",0,"S.sid",24,"24-15","OK","Control ","R2","2017-09-01",0.508
"231",0,"S.sid",24,"24-16","OK","N ","R2","2017-09-01",0.501
"232",0,"S.sid",24,"24-17","OK","NP","R2","2017-09-01",0.487
"233",0,"S.sid",24,"24-18","OK","Control ","R1","2017-09-01",0.492
"234",0,"S.sid",24,"24-19","OK","N ","R1","2017-09-01",0.49
"235",0,"S.sid",24,"24-20","OK","NP","R1","2017-09-01",0.503
"236",0,"S.sid",24,"24-21","OK","Control ","R2","2017-09-01",0.492
"237",0,"S.sid",24,"24-22","OK","N ","R2","2017-09-01",0.506
"238",0,"S.sid",24,"24-23","OK","NP","R2","2017-09-01",0.501
"239",0,"S.sid",24,"24-24","OK","Control ","R1","2017-09-01",0.517
"240",0,"S.sid",24,"24-25","Meh","Control ","R1","2017-09-01",0.503
"241",0,"S.sid",24,"24-26","OK","N ","R1","2017-09-01",0.499
"242",0,"S.sid",24,"24-27","OK","NP","R1","2017-09-01",0.502
"243",0,"S.sid",24,"24-28","OK","Control ","R2","2017-09-01",0.488
