Time,Spp,Colony,Core,Notes,Treatment,Replicate,Date,Picture,AOI,File ,variable.fragment
0,S.sid,20,20-86,OK,Control ,R2,2017-09-01,3,24,3.csv,Y.II.24
0,S.sid,20,20-87,OK,N ,R2,2017-09-01,4,1,4.csv,Y.II.1
0,S.sid,20,20-88,OK,NP,R2,2017-09-01,4,2,4.csv,Y.II.2
0,S.sid,20,20-89,OK,Control ,R1,2017-09-01,4,3,4.csv,Y.II.3
0,S.sid,20,20-90,OK,N ,R1,2017-09-01,4,4,4.csv,Y.II.4
0,S.sid,20,20-91,OK,NP,R1,2017-09-01,4,5,4.csv,Y.II.5
0,S.sid,20,20-92,OK,Control ,R2,2017-09-01,4,6,4.csv,Y.II.6
0,S.sid,20,20-93,OK,N ,R2,2017-09-01,4,7,4.csv,Y.II.7
0,S.sid,20,20-94,OK,NP,R2,2017-09-01,4,8,4.csv,Y.II.8
0,S.sid,20,20-95,OK,Control ,R1,2017-09-01,4,9,4.csv,Y.II.9
0,S.sid,20,20-96,OK,N ,R1,2017-09-01,4,10,4.csv,Y.II.10
0,S.sid,20,20-97,OK,NP,R1,2017-09-01,4,11,4.csv,Y.II.11
0,S.sid,20,20-98,OK,Control ,R2,2017-09-01,4,12,4.csv,Y.II.12
0,S.sid,20,20-99,OK,N ,R2,2017-09-01,4,13,4.csv,Y.II.13
0,S.sid,20,20-101,OK,NP,R2,2017-09-01,4,14,4.csv,Y.II.14
0,S.sid,20,20-102,OK,Control ,R1,2017-09-01,4,15,4.csv,Y.II.15
0,S.sid,20,20-103,OK,N ,R1,2017-09-01,4,16,4.csv,Y.II.16
0,S.sid,20,20-105,OK,NP,R1,2017-09-01,4,17,4.csv,Y.II.17
0,S.sid,20,20-106,OK,Control ,R2,2017-09-01,4,18,4.csv,Y.II.18
0,S.sid,22,22-2,OK,Control ,R1,2017-09-01,5,1,5.csv,Y.II.1
0,S.sid,22,22-3,OK,N ,R1,2017-09-01,5,2,5.csv,Y.II.2
0,S.sid,22,22-5,OK,NP,R1,2017-09-01,5,3,5.csv,Y.II.3
0,S.sid,22,22-6,OK,Control ,R2,2017-09-01,5,4,5.csv,Y.II.4
0,S.sid,22,22-8,OK,N ,R2,2017-09-01,5,5,5.csv,Y.II.5
0,S.sid,22,22-11,OK,NP,R2,2017-09-01,5,6,5.csv,Y.II.6
0,S.sid,22,22-12,OK,Control ,R1,2017-09-01,5,7,5.csv,Y.II.7
0,S.sid,22,22-13,OK,N ,R1,2017-09-01,5,8,5.csv,Y.II.8
0,S.sid,22,22-14,OK,NP,R1,2017-09-01,5,9,5.csv,Y.II.9
0,S.sid,22,22-16,OK,Control ,R2,2017-09-01,5,10,5.csv,Y.II.10
0,S.sid,22,22-17,OK,N ,R2,2017-09-01,5,11,5.csv,Y.II.11
0,S.sid,22,22-18,OK,NP,R2,2017-09-01,5,12,5.csv,Y.II.12
0,S.sid,22,22-19,OK,Control ,R1,2017-09-01,5,13,5.csv,Y.II.13
0,S.sid,22,22-20,OK,N ,R1,2017-09-01,5,14,5.csv,Y.II.14
0,S.sid,22,22-21,OK,NP,R1,2017-09-01,5,15,5.csv,Y.II.15
0,S.sid,22,22-22,OK,Control ,R2,2017-09-01,5,16,5.csv,Y.II.16
0,S.sid,22,22-24,OK,N ,R2,2017-09-01,5,17,5.csv,Y.II.17
0,S.sid,22,22-25,OK,NP,R2,2017-09-01,5,18,5.csv,Y.II.18
0,S.sid,22,22-26,OK,Control ,R1,2017-09-01,5,19,5.csv,Y.II.19
0,S.sid,22,22-27,OK,N ,R1,2017-09-01,5,20,5.csv,Y.II.20
0,S.sid,22,22-28,OK,NP,R1,2017-09-01,5,21,5.csv,Y.II.21
