Time,Spp,Colony,Core,Notes,Treatment,Replicate,Date,Picture,AOI,File ,variable.fragment
0,S.sid,27,27-67,OK,Control ,R2,2017-09-01,17,10,17.csv,Y.II.10
0,S.sid,27,27-68,Meh,Control ,R2,2017-09-01,17,11,17.csv,Y.II.11
0,S.sid,27,27-69,OK,N ,R2,2017-09-01,17,12,17.csv,Y.II.12
0,S.sid,27,27-70,OK,NP,R2,2017-09-01,17,13,17.csv,Y.II.13
0,S.sid,27,27-71,OK,Control ,R1,2017-09-01,17,14,17.csv,Y.II.14
0,S.sid,27,27-73,OK,N ,R1,2017-09-01,17,15,17.csv,Y.II.15
0,S.sid,27,27-75,OK,NP,R1,2017-09-01,17,16,17.csv,Y.II.16
0,S.sid,27,27-77,OK,Control ,R2,2017-09-01,17,17,17.csv,Y.II.17
0,S.sid,27,27-81,OK,N ,R2,2017-09-01,17,18,17.csv,Y.II.18
0,S.sid,27,27-82,OK,NP,R2,2017-09-01,17,19,17.csv,Y.II.19
0,S.sid,27,27-85,OK,Control ,R1,2017-09-01,17,20,17.csv,Y.II.20
0,S.sid,27,27-86,OK,N ,R1,2017-09-01,17,21,17.csv,Y.II.21
0,S.sid,27,27-87,OK,NP,R1,2017-09-01,18,1,18.csv,Y.II.1
0,S.sid,27,27-88,OK,Control ,R2,2017-09-01,18,2,18.csv,Y.II.2
0,S.sid,27,27-90,OK,N ,R2,2017-09-01,18,3,18.csv,Y.II.3
0,S.sid,27,27-91,OK,NP,R2,2017-09-01,18,4,18.csv,Y.II.4
0,S.sid,27,27-94,OK,Control ,R1,2017-09-01,18,5,18.csv,Y.II.5
0,S.sid,27,27-95,OK,N ,R1,2017-09-01,18,6,18.csv,Y.II.6
0,S.sid,27,27-96,OK,NP,R1,2017-09-01,18,7,18.csv,Y.II.7
0,S.sid,27,27-97,OK,Control ,R2,2017-09-01,18,8,18.csv,Y.II.8
0,S.sid,27,27-98,OK,N ,R2,2017-09-01,18,9,18.csv,Y.II.9
0,S.sid,28,28-2,Ok,Control ,R1,2017-09-01,19,1,19.csv,Y.II.1
0,S.sid,28,28-3,Ok,N ,R1,2017-09-01,19,2,19.csv,Y.II.2
0,S.sid,28,28-4,Ok,NP,R1,2017-09-01,19,3,19.csv,Y.II.3
0,S.sid,28,28-5,Ok,Control ,R2,2017-09-01,19,4,19.csv,Y.II.4
0,S.sid,28,28-6,Ok,N ,R2,2017-09-01,19,5,19.csv,Y.II.5
0,S.sid,28,28-7,Ok,NP,R2,2017-09-01,19,6,19.csv,Y.II.6
0,S.sid,28,28-8,Ok,Control ,R1,2017-09-01,19,7,19.csv,Y.II.7
0,S.sid,28,28-9,Ok,N ,R1,2017-09-01,19,8,19.csv,Y.II.8
0,S.sid,28,28-10,Ok,NP,R1,2017-09-01,19,9,19.csv,Y.II.9
0,S.sid,28,28-11,Ok,Control ,R2,2017-09-01,19,10,19.csv,Y.II.10
0,S.sid,28,28-13,Ok,N ,R2,2017-09-01,19,11,19.csv,Y.II.11
0,S.sid,28,28-14,Ok,NP,R2,2017-09-01,19,12,19.csv,Y.II.12
0,S.sid,28,28-15,Ok,Control ,R1,2017-09-01,19,13,19.csv,Y.II.13
0,S.sid,28,28-18,Ok,N ,R1,2017-09-01,19,14,19.csv,Y.II.14
0,S.sid,28,28-19,Ok,NP,R1,2017-09-01,19,15,19.csv,Y.II.15
0,S.sid,28,28-20,Ok,Control ,R2,2017-09-01,19,16,19.csv,Y.II.16
0,S.sid,28,28-21,Ok,N ,R2,2017-09-01,19,17,19.csv,Y.II.17
0,S.sid,28,28-23,Ok,NP,R2,2017-09-01,19,18,19.csv,Y.II.18
0,S.sid,28,28-29,Ok,N ,R2,2017-09-01,19,19,19.csv,Y.II.19
0,S.sid,28,28-30,Ok,NP,R1,2017-09-01,19,20,19.csv,Y.II.20
0,S.sid,30,30-1,OK,N ,R1,2017-09-01,20,1,20.csv,Y.II.1
0,S.sid,30,30-2,OK,NP,R1,2017-09-01,20,2,20.csv,Y.II.2
0,S.sid,30,30-3,OK,Control ,R2,2017-09-01,20,3,20.csv,Y.II.3
0,S.sid,30,30-4,OK,N ,R2,2017-09-01,20,4,20.csv,Y.II.4
0,S.sid,30,30-5,OK,NP,R2,2017-09-01,20,5,20.csv,Y.II.5
0,S.sid,30,30-7,OK,Control ,R1,2017-09-01,20,6,20.csv,Y.II.6
0,S.sid,30,30-8,OK,N ,R1,2017-09-01,20,7,20.csv,Y.II.7
0,S.sid,30,30-9,OK,NP,R1,2017-09-01,20,8,20.csv,Y.II.8
0,S.sid,30,30-10,OK,Control ,R2,2017-09-01,20,9,20.csv,Y.II.9
0,S.sid,30,30-12,OK,N ,R2,2017-09-01,20,10,20.csv,Y.II.10
0,S.sid,30,30-13,OK,NP,R2,2017-09-01,20,11,20.csv,Y.II.11
0,S.sid,30,30-14,OK,Control ,R1,2017-09-01,20,12,20.csv,Y.II.12
0,S.sid,30,30-15,OK,N ,R1,2017-09-01,20,13,20.csv,Y.II.13
0,S.sid,30,30-16,OK,NP,R1,2017-09-01,20,14,20.csv,Y.II.14
0,S.sid,30,30-18,OK,Control ,R2,2017-09-01,20,15,20.csv,Y.II.15
0,S.sid,30,30-20,OK,N ,R2,2017-09-01,20,16,20.csv,Y.II.16
0,S.sid,30,30-21,OK,NP,R2,2017-09-01,20,17,20.csv,Y.II.17
0,S.sid,30,30-22,OK,Control ,R1,2017-09-01,20,18,20.csv,Y.II.18
0,S.sid,30,30-23,OK,N ,R1,2017-09-01,20,19,20.csv,Y.II.19
0,S.sid,30,30-24,OK,NP,R1,2017-09-01,20,20,20.csv,Y.II.20
0,S.sid,30,30-25,OK,Control ,R2,2017-09-01,20,21,20.csv,Y.II.21
0,S.sid,30,30-26,OK,N ,R2,2017-09-01,21,1,21.csv,Y.II.1
0,S.sid,30,30-27,OK,NP,R2,2017-09-01,21,2,21.csv,Y.II.2
0,S.sid,30,30-28,OK,Control ,R1,2017-09-01,21,3,21.csv,Y.II.3
0,S.sid,30,30-29,OK,N ,R1,2017-09-01,21,4,21.csv,Y.II.4
0,S.sid,30,30-30,OK,NP,R1,2017-09-01,21,5,21.csv,Y.II.5
0,S.sid,30,30-31,OK,Control ,R2,2017-09-01,21,6,21.csv,Y.II.6
0,S.sid,30,30-32,OK,N ,R2,2017-09-01,21,7,21.csv,Y.II.7
0,S.sid,30,30-33,OK,NP,R2,2017-09-01,21,8,21.csv,Y.II.8
0,S.sid,30,30-34,OK,Control ,R1,2017-09-01,21,9,21.csv,Y.II.9
0,S.sid,30,30-35,OK,N ,R1,2017-09-01,21,10,21.csv,Y.II.10
0,S.sid,30,30-36,OK,NP,R1,2017-09-01,21,11,21.csv,Y.II.11
0,S.sid,30,30-37,OK,Control ,R2,2017-09-01,21,12,21.csv,Y.II.12
0,S.sid,30,30-39,OK,N ,R2,2017-09-01,21,13,21.csv,Y.II.13
0,S.sid,30,30-40,OK,NP,R2,2017-09-01,21,14,21.csv,Y.II.14
0,S.sid,30,30-41,OK,Control ,R1,2017-09-01,21,15,21.csv,Y.II.15
0,S.sid,30,30-42,OK,N ,R1,2017-09-01,21,16,21.csv,Y.II.16
0,S.sid,30,30-43,OK,NP,R1,2017-09-01,21,17,21.csv,Y.II.17
0,S.sid,30,30-44,OK,Control ,R2,2017-09-01,21,18,21.csv,Y.II.18
0,S.sid,30,30-45,OK,N ,R2,2017-09-01,21,19,21.csv,Y.II.19
0,S.sid,30,30-46,OK,NP,R2,2017-09-01,21,20,21.csv,Y.II.20
0,S.sid,30,30-47,OK,Control ,R1,2017-09-01,21,21,21.csv,Y.II.21
0,S.sid,30,30-49,OK,N ,R1,2017-09-01,22,1,22.csv,Y.II.1
0,S.sid,30,30-50,OK,NP,R1,2017-09-01,22,2,22.csv,Y.II.2
0,S.sid,30,30-52,OK,Control ,R2,2017-09-01,22,3,22.csv,Y.II.3
0,S.sid,30,30-53,OK,N ,R2,2017-09-01,22,4,22.csv,Y.II.4
0,S.sid,30,30-54,OK,NP,R2,2017-09-01,22,5,22.csv,Y.II.5
0,S.sid,30,30-59,OK,Control ,R1,2017-09-01,22,6,22.csv,Y.II.6
0,S.sid,30,30-61,OK,N ,R1,2017-09-01,22,7,22.csv,Y.II.7
0,S.sid,30,30-64,OK,NP,R1,2017-09-01,22,8,22.csv,Y.II.8
